id|alternative_ids|label|source|source_url|synonyms|term_name
go_0030890||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""positive regulation of B lymphocyte proliferation"", ""positive regulation of B-cell proliferation"", ""positive regulation of B-lymphocyte proliferation"", ""up regulation of B cell proliferation"", ""up-regulation of B cell proliferation"", ""upregulation of B cell proliferation""]"|positive regulation of B cell proliferation
uberon_3000652||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""maxillary saddle""]"|fossa maxillaris
go_0042475||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""odontogenesis of dentine-containing teeth"", ""odontogenesis of dentine-containing tooth""]"|odontogenesis of dentin-containing tooth
uberon_0036523||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""vaginal wall""]"|wall of vagina
uberon_3000678||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""spina oesophagea""]"|esophageal process
uberon_0003662|"[""UBERON:0005634""]"|uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""arm muscle system"", ""musculature of arm"", ""musculature of the arm"", ""fore limb muscle organ"", ""forelimb muscle organ"", ""free upper limb muscle"", ""muscle of free upper limb"", ""muscle of upper limb"", ""upper limb skeletal muscle""]"|forelimb muscle
uberon_0014858||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""post-larva"", ""post-larval"", ""post-larval stage"", ""postlarva""]"|crustacean post-larval stage
go_0021671||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||rhombomere 7 morphogenesis
uberon_0003430||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""neck (volume) nerve"", ""nerve of neck"", ""nerve of neck (volume)""]"|neck nerve
go_0043021||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""RNP binding"", ""protein-RNA complex binding"", ""ribonucleoprotein binding""]"|ribonucleoprotein complex binding
go_0160095||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||insect pharynx development
uberon_0006049||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""autopod digit 2"", ""digit II"", ""limb digit 2"", ""second digit""]"|digit 2
uberon_0014697||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||posterior choroidal artery
uberon_0005659||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl||primary palate epithelium
uberon_0001529||uberon|UBERON|http://purl.obolibrary.org/obo/uberon.owl|"[""truncus brachiocephalicus"", ""brachiocephalic trunk"", ""innominate artery"", ""truncus brachiocephalicus""]"|brachiocephalic artery
